CRASH DATE,CRASH TIME,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,insights,data
12/9/2021,8:00,WEST SHORE EXPRESSWAY,,,0,5,0,0,0,0,0,0,4485214,Sedan,Station Wagon/Sport Utility Vehicle,,,,
12/7/2021,17:08,FLUSHING AVENUE,KENT AVENUE,,0,3,0,0,0,0,0,0,4485437,,,,,,
12/5/2021,8:20,,,393       ROCKAWAY PARKWAY,0,5,0,0,0,0,0,0,4485408,Sedan,,,,,
12/8/2021,19:30,,,127       EAST 58 STREET,1,8,0,0,1,0,0,0,4484852,Station Wagon/Sport Utility Vehicle,Bike,,,,
12/8/2021,12:00,,,44        WEST 14 STREET,1,9,0,0,1,0,0,0,4485542,Box Truck,Bike,,,,
12/10/2021,8:06,FLATBUSH AVENUE,GRAND ARMY PLAZA,,0,3,0,0,0,0,0,0,4485170,Garbage or Refuse,Sedan,,,,
12/8/2021,19:30,OCEAN PARKWAY,,,4,5,0,0,0,0,4,0,4485523,Taxi,Station Wagon/Sport Utility Vehicle,,,,
12/8/2021,22:37,,,288       MANOR ROAD,0,2,0,0,0,0,0,0,4484906,Sedan,,,,,
12/8/2021,17:56,MAJOR DEEGAN EXPRESSWAY,,,0,10,0,0,0,0,0,0,4485036,Sedan,,,,,
12/7/2021,7:50,CARROLL STREET,,,0,10,0,0,0,0,0,0,4485772,Sedan,Sedan,,,,
12/8/2021,0:44,23 STREET,40 AVENUE,,0,7,0,0,0,0,0,0,4485565,Sedan,,,,,
12/8/2021,15:00,AVENUE Y,,,0,9,0,0,0,0,0,0,4484836,Sedan,,,,,
12/10/2021,11:00,,,2123      LURTING AVENUE,0,8,0,0,0,0,0,0,4485340,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
12/10/2021,1:10,SCHENECTADY AVENUE,,,0,8,0,0,0,0,0,0,4485706,Station Wagon/Sport Utility Vehicle,Sedan,,,,
12/9/2021,0:00,47 ROAD,,,1,7,1,0,0,0,0,0,4485384,Sedan,,,,,
12/8/2021,18:36,HENRY HUDSON PARKWAY,,,0,6,0,0,0,0,0,0,4484799,Sedan,Station Wagon/Sport Utility Vehicle,,,,
12/9/2021,20:30,,,269-01    76 AVENUE,0,5,0,0,0,0,0,0,4485077,Sedan,,,,,
12/9/2021,10:13,KINGS HIGHWAY,FARRAGUT ROAD,,2,6,0,0,0,0,2,0,4485090,Sedan,Sedan,,,,
3/26/2022,14:00,CORSON AVENUE,WESTERVELT AVENUE,,0,7,0,0,0,0,0,0,4513697,Sedan,Sedan,,,,
3/26/2022,1:02,WEST 101 STREET,BROADWAY,,1,5,0,0,0,0,1,0,4513935,Sedan,Moped,,,,
3/26/2022,16:02,QUEENS BOULEVARD,57 AVENUE,,1,4,0,0,0,0,1,0,4513794,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,16:05,115 AVENUE,221 STREET,,1,7,0,0,0,0,1,0,4514267,Station Wagon/Sport Utility Vehicle,Bus,,,,
3/21/2022,12:05,,,515       WEST 36 STREET,1,6,0,0,0,0,1,0,4514237,Motorcycle,Sedan,,,,
3/26/2022,5:13,131 STREET,ATLANTIC AVENUE,,0,3,0,0,0,0,0,0,4513470,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,17:42,,,935       EAST 58 STREET,0,2,0,0,0,0,0,0,4513751,Sedan,,,,,
3/26/2022,12:18,LACONIA AVENUE,EAST 231 STREET,,2,1,0,0,0,0,2,0,4514075,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,20:10,,,1706      HOLLAND AVENUE,0,0,0,0,0,0,0,0,4513857,Station Wagon/Sport Utility Vehicle,,,,,
3/26/2022,15:45,WHITE PLAINS ROAD,CROSS BRONX EXPRESSWAY,,2,1,0,0,0,0,2,0,4514202,Station Wagon/Sport Utility Vehicle,,,,,
3/26/2022,17:55,MANHATTAN AVENUE,BOERUM STREET,,0,1,0,0,0,0,0,0,4514347,Sedan,,,,,
3/26/2022,0:50,AVENUE N,EAST 102 STREET,,0,0,0,0,0,0,0,0,4513495,Sedan,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,14:05,,,2067      NOSTRAND AVENUE,1,6,0,0,0,0,1,0,4513874,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,
3/26/2022,9:30,BRUCKNER BOULEVARD,EAST 137 STREET,,0,4,0,0,0,0,0,0,4514263,Sedan,,,,,
3/10/2022,8:30,PROSPECT PLACE,GRAND AVENUE,,4,6,0,0,0,0,4,0,4514323,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
3/24/2022,23:00,WATSON AVENUE,CASTLE HILL AVENUE,,1,8,1,0,0,0,0,0,4514182,Sedan,,,,,
3/26/2022,7:36,FORT HAMILTON PARKWAY,97 STREET,,0,1,0,0,0,0,0,0,4513515,Station Wagon/Sport Utility Vehicle,Taxi,Sedan,,,
3/26/2022,11:50,EAST 94 STREET,AVENUE M,,2,2,2,0,0,0,0,0,4513663,Station Wagon/Sport Utility Vehicle,,,,,
3/26/2022,17:42,114 STREET,SUTTER AVENUE,,0,0,0,0,0,0,0,0,4513953,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,1:45,EAST 62 STREET,1 AVENUE,,0,7,0,0,0,0,0,0,4513985,Sedan,Sedan,,,,
3/26/2022,17:00,,,98        SOUTH 4 STREET,0,1,0,0,0,0,0,0,4514084,Sedan,Station Wagon/Sport Utility Vehicle,,,,
2/25/2022,11:48,JAMAICA AVENUE,165 STREET,,0,7,0,0,0,0,0,0,4514144,E-Scooter,Sedan,,,,
3/26/2022,22:51,WEST 30 STREET,,,1,7,1,0,0,0,0,0,4513606,Sedan,,,,,
3/26/2022,8:21,SAINT NICHOLAS AVENUE,WEST 159 STREET,,0,10,0,0,0,0,0,0,4513564,Box Truck,Station Wagon/Sport Utility Vehicle,,,,
3/17/2022,8:00,139 STREET,,,1,0,0,0,0,0,1,0,4514412,Sedan,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,10:30,,,736       56 STREET,0,8,0,0,0,0,0,0,4513587,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
12/16/2021,9:23,JACKIE ROBINSON EXPY,JAMAICA AVENUE,,0,3,0,0,0,0,0,0,4487185,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,13:48,,,1016      SAINT NICHOLAS AVENUE,1,4,1,0,0,0,0,0,4513565,,,,,,
3/25/2022,9:56,EAST 241 STREET,,,0,0,0,0,0,0,0,0,4514286,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
3/26/2022,23:45,47 STREET,GREENPOINT AVENUE,,1,5,0,0,0,0,1,0,4513637,Sedan,Sedan,,,,
3/26/2022,1:26,GOWANUS RAMP,,,0,7,0,0,0,0,0,0,4513528,UTILITY,Station Wagon/Sport Utility Vehicle,,,,
3/22/2022,9:07,GRAND AVENUE,GREENE AVENUE,,1,2,1,0,0,0,0,0,4514139,Sedan,,,,,
3/26/2022,16:00,SUTTER AVENUE,SCHENCK AVENUE,,1,9,0,0,0,0,1,0,4513833,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,
3/26/2022,23:17,ESSEX STREET,EAST HOUSTON STREET,,1,2,0,0,0,0,1,0,4513887,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/23/2022,9:00,FLATBUSH AVENUE,,,1,5,0,0,0,0,1,0,4514160,Sedan,Motorcycle,,,,
3/26/2022,5:00,BRONX RIVER PARKWAY,,,0,2,0,0,0,0,0,0,4514002,Sedan,Sedan,,,,
3/25/2022,6:15,EAST 120 STREET,,,1,10,0,0,0,0,1,0,4514152,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
3/26/2022,21:50,FDR DRIVE,,,1,6,0,0,0,0,1,0,4513626,Taxi,Sedan,,,,
3/26/2022,21:25,,,200       ROGERS AVENUE,0,7,0,0,0,0,0,0,4513774,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/25/2022,18:13,,,604       EAST 2 STREET,2,7,0,0,0,0,2,0,4514376,Sedan,Sedan,Sedan,Sedan,,
3/26/2022,20:10,EAST 168 STREET,3 AVENUE,,1,2,1,0,0,0,0,0,4513982,Sedan,,,,,
3/25/2022,12:55,GRAND CONCOURSE,,,0,1,0,0,0,0,0,0,4514220,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
3/23/2022,11:00,GULF AVENUE,,,0,7,0,0,0,0,0,0,4514413,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,3:05,AVENUE J,EAST 92 STREET,,1,4,0,0,0,0,1,0,4513664,Sedan,,,,,
3/26/2022,4:34,WEST FORDHAM ROAD,CEDAR AVENUE,,1,3,0,0,0,0,1,0,4513725,Station Wagon/Sport Utility Vehicle,,,,,
3/26/2022,19:56,,,11        METROTECH CENTER,0,5,0,0,0,0,0,0,4514298,Sedan,,,,,
3/26/2022,12:40,65 STREET,FORT HAMILTON PARKWAY,,0,5,0,0,0,0,0,0,4513573,Sedan,Sedan,,,,
3/26/2022,1:58,,,1670      WATSON AVENUE,0,4,0,0,0,0,0,0,4514201,Sedan,Sedan,,,,
3/26/2022,19:56,GERRITSEN AVENUE,AVENUE S,,0,9,0,0,0,0,0,0,4514030,Station Wagon/Sport Utility Vehicle,,,,,
3/26/2022,0:30,MADISON STREET,CENTRAL AVENUE,,0,5,0,0,0,0,0,0,4514125,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/16/2022,15:44,49 street,5 avenue,,1,0,1,0,0,0,0,0,4514194,Bike,,,,,
3/26/2022,20:05,BUSHWICK AVENUE,CONWAY STREET,,0,4,0,0,0,0,0,0,4514278,Sedan,Sedan,,,,
3/26/2022,17:54,,,168       EAST 29 STREET,4,4,0,0,0,0,4,0,4513803,Sedan,Station Wagon/Sport Utility Vehicle,,,,
3/25/2022,17:55,NOSTRAND AVENUE,,,0,10,0,0,0,0,0,0,4514241,Sedan,Motorcycle,,,,
12/12/2021,9:09,JEROME AVENUE,,,0,3,0,1,0,0,0,0,4487210,Taxi,,,,,
4/13/2021,16:00,VANDERVORT AVENUE,ANTHONY STREET,,0,10,0,0,0,0,0,0,4407811,Sedan,,,,,
8/5/2021,18:17,VERRAZANO BRIDGE,,,0,10,0,0,0,0,0,0,4456746,Sedan,Sedan,,,,
3/26/2022,16:35,,,3071      BRIGHTON 4 STREET,0,6,0,0,0,0,0,0,4513878,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,
3/26/2022,19:50,,,60        WASHINGTON SQUARE SOUTH,1,5,0,0,1,0,0,0,4513735,E-Bike,BOX VAN,,,,
3/26/2022,13:19,ROCKAWAY BOULEVARD,132 STREET,,0,5,0,0,0,0,0,0,4513958,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/25/2022,8:45,,,1175      MC DONALD AVENUE,2,10,0,0,0,0,2,0,4514367,Sedan,Sedan,,,,
3/26/2022,10:10,UNION STREET,PLAZA STREET WEST,,0,8,0,0,0,0,0,0,4513681,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,11:45,BROOKLYN QUEENS EXPRESSWAY,,,1,3,0,0,0,0,1,0,4514212,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/25/2022,14:35,PORT RICHMOND AVENUE,HATFIELD PLACE,,1,10,1,0,0,0,0,0,4514420,Sedan,,,,,
3/26/2022,14:30,MCCLEAN AVENUE,SAND LANE,,0,8,0,0,0,0,0,0,4513923,Sedan,Sedan,,,,
3/26/2022,19:00,,,1549      EAST 56 STREET,0,8,0,0,0,0,0,0,4513752,Sedan,,,,,
3/26/2022,2:05,PARSONS BOULEVARD,GRAND CENTRAL PARKWAY,,0,9,0,0,0,0,0,0,4513924,Taxi,Pick-up Truck,,,,
3/26/2022,16:40,,,436       ATLANTIC AVENUE,2,7,0,0,0,0,2,0,4513860,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/24/2022,18:05,MARCY AVENUE,ELLERY STREET,,0,0,0,0,0,0,0,0,4514251,Sedan,Station Wagon/Sport Utility Vehicle,,,,
3/26/2022,3:35,179 STREET,,,1,5,0,0,0,0,1,0,4513478,Sedan,Station Wagon/Sport Utility Vehicle,,,,
3/20/2022,10:34,WEST 76 STREET,CENTRAL PARK WEST,,1,0,1,0,0,0,0,0,4514302,Sedan,,,,,
3/26/2022,14:54,AVENUE OF THE AMERICAS,WEST 31 STREET,,0,8,0,0,0,0,0,0,4513708,Sedan,Taxi,,,,
3/25/2022,6:35,,,1700      CROSS BRONX EXPRESSWAY,0,0,0,0,0,0,0,0,4514189,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/25/2022,14:00,LEONARD AVENUE,FISKE AVENUE,,0,5,0,0,0,0,0,0,4514419,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
3/21/2022,19:13,WASHINGTON SQUARE NORTH,,,1,7,0,0,1,0,0,0,4514234,Sedan,Bike,,,,
3/26/2022,5:02,CONEY ISLAND AVENUE,QUENTIN ROAD,,0,3,0,0,0,0,0,0,4513496,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
3/25/2022,9:45,CROSS ISLAND PARKWAY,,,0,3,0,0,0,0,0,0,4514266,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
3/26/2022,22:54,,,177       4 AVENUE,0,5,0,0,0,0,0,0,4513680,Taxi,Sedan,,,,
3/26/2022,21:00,,,1115      63 STREET,0,2,0,0,0,0,0,0,4513861,Sedan,,,,,
3/26/2022,17:29,EASTERN PARKWAY,UTICA AVENUE,,1,2,0,0,0,0,1,0,4514326,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,2:10,WEST 38 STREET,8 AVENUE,,1,2,0,0,1,0,0,0,4513739,Bike,,,,,
3/25/2022,0:00,EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,0,4,0,0,0,0,0,0,4514180,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,4:00,GRAND CONCOURSE,EAST 183 STREET,,0,1,0,0,0,0,0,0,4514209,Station Wagon/Sport Utility Vehicle,Sedan,,,,
3/26/2022,4:34,CENTRAL AVENUE,66 PLACE,,0,8,0,0,0,0,0,0,4513795,Sedan,,,,,
