UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,VEHICLE_OCCUPANTS,DRIVER_LICENSE_STATUS,PRE_CRASH_NUM,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
19139804,4229205,10/24/2019,12:10,009f5608-f1c8-4747-91be-6b707a1fda3d,Station Wagon/Sport Utility Vehicle,INFI -CAR/SUV,,2019,1,Licensed,1,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,Right Front Quarter Panel,Right Front Bumper,N,Backing Unsafely,Driver Inattention/Distraction
10957637,126113,9/4/2012,7:00,2,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Lost Consciousness,
19140710,4229517,10/19/2019,13:30,79c04add-66ef-4f3b-a159-120379cfa8ac,Bike,,,,1,,0,Center Front End,Center Front End,,,,N,Failure to Yield Right-of-Way,Traffic Control Disregarded
9437002,57863,9/25/2012,12:50,1,TAXI,,,,,,1,,,,,,,Unspecified,
19140446,4229127,10/24/2019,20:30,c1353cd0-388f-4e93-887d-6743b7599d2b,Sedan,HOND -CAR/SUV,,2017,1,Licensed,3,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,Unspecified,Unspecified
14826434,3277120,8/14/2015,14:20,1,PASSENGER VEHICLE,,,,,,2,,,,,,,Unspecified,
19140792,4229563,10/21/2019,17:55,ca744068-6013-47f0-a661-a0fbb579eb47,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2003,1,Licensed,4,Left Front Bumper,Center Front End,Center Front End,Left Front Bumper,,N,Unspecified,Unspecified
14462100,301826,11/7/2012,12:20,2,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Unspecified,
8569561,12254,7/22/2012,7:10,1,PASSENGER VEHICLE,,,,,,7,,,,,,,Unspecified,
19139096,4229018,10/24/2019,21:55,6ce523e1-6a14-4bcb-8e98-b2bdc5a74542,Sedan,HOND -CAR/SUV,,2018,3,Licensed,7,Center Front End,Left Front Bumper,Right Front Bumper,,,N,Failure to Yield Right-of-Way,Traffic Control Disregarded
10158114,2912640,11/22/2012,22:25,1,SPORT UTILITY / STATION WAGON,,,,,,3,,,,,,,Unspecified,
14658856,3204325,4/16/2015,15:58,2,SPORT UTILITY / STATION WAGON,,,,,,0,,,,,,,Other Vehicular,
15054978,3391837,2/20/2016,3:07,3,PASSENGER VEHICLE,,,,,,1,,,,,,,Unspecified,
9273416,45437,8/17/2012,16:30,2,OTHER,,,,,,1,,,,,,,Other Vehicular,
11314325,2960132,12/18/2012,4:20,2,PASSENGER VEHICLE,,,,,,2,,,,,,,Unspecified,
19138903,4228921,10/24/2019,11:50,46176b3a-deda-4170-a186-7e7206b7a089,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2017,1,Licensed,0,Center Front End,Center Front End,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified
10062169,546846,7/15/2014,10:30,3,PASSENGER VEHICLE,,,,,,4,,,,,,,Unspecified,
19140226,4229375,10/24/2019,14:00,f37a0689-c2cb-4ae6-9317-531dffa0f185,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2011,1,Licensed,6,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,Unspecified,Unspecified
14856165,3291849,9/6/2015,22:00,1,PASSENGER VEHICLE,,,,,,1,,,,,,,Unspecified,
13851173,3097477,11/25/2013,20:00,1,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Driver Inattention/Distraction,
17045096,3432659,4/27/2016,19:15,198679,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,FORD ZZZ,2000,1,Licensed,4,Center Front End,Center Front End,Left Side Doors,Left Rear Quarter Panel,,N,Following Too Closely,Unspecified
19138211,4228473,10/24/2019,3:35,49a6bfa1-9d8f-4303-b101-a57aa7f332ea,Sedan,TOYT -CAR/SUV,,2015,0,,0,Right Front Bumper,Right Front Bumper,Center Front End,,,Y,Other Vehicular,Other Vehicular
19139716,4228752,10/24/2019,13:30,ee1bb541-25e0-4335-accc-6638116cecdf,Sedan,NISS -CAR/SUV,,2019,1,Licensed,4,Left Front Bumper,Left Front Bumper,,,,N,Unspecified,Unspecified
17187987,3482489,7/17/2016,17:45,529156,4 dr sedan,BMW -CAR/SUV,,2014,1,Licensed,6,Center Back End,Center Back End,,,,N,Unspecified,Unspecified
13097877,1011403,8/20/2014,10:00,1,SPORT UTILITY / STATION WAGON,,,,,,2,,,,,,,Unspecified,
19138997,4228597,10/24/2019,8:30,42998a22-2718-472b-a186-110eef8eb18a,Sedan,TOYT -CAR/SUV,,2010,1,Licensed,4,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,,,N,Unspecified,Unspecified
10230895,1034629,10/7/2014,15:05,1,SPORT UTILITY / STATION WAGON,,,,,,0,,,,,,,Turning Improperly,
17179435,3499115,8/10/2016,13:05,634943,Flat Bed,FRHT-TRUCK/BUS,,2015,1,Licensed,4,Trailer,Trailer,,,,N,Turning Improperly,Oversized Vehicle
14903590,3315642,10/14/2015,5:00,1,LARGE COM VEH(6 OR MORE TIRES),,,,,,5,,,,,,,Physical Disability,
10385619,2927027,8/26/2012,16:29,1,PASSENGER VEHICLE,,,,,,5,,,,,,,Fatigued/Drowsy,
14831062,3279405,8/17/2015,15:47,1,PASSENGER VEHICLE,,,,,,5,,,,,,,Failure to Yield Right-of-Way,
12313986,2992280,7/15/2013,17:00,1,SPORT UTILITY / STATION WAGON,,,,,,5,,,,,,,Fatigued/Drowsy,
14842705,3285154,8/27/2015,7:20,1,PASSENGER VEHICLE,,,,,,4,,,,,,,Prescription Medication,
8531488,10017,11/12/2012,16:55,2,SPORT UTILITY / STATION WAGON,,,,,,5,,,,,,,Unspecified,
13233679,3045325,4/6/2013,7:05,1,PASSENGER VEHICLE,,,,,,3,,,,,,,Unspecified,
10055389,86647,3/25/2013,7:50,1,VAN,,,,,,7,,,,,,,Unspecified,
15029165,3378782,1/27/2016,8:30,2,PASSENGER VEHICLE,,,,,,9,,,,,,,Unspecified,
19139454,4228826,10/24/2019,9:20,cd5ccb9e-1de7-47af-bfc2-53ee8b0812a6,4 dr sedan,NISS -CAR/SUV,,2000,1,Licensed,9,Center Back End,Center Back End,,,,N,Backing Unsafely,Driver Inexperience
14634311,3194230,3/26/2015,15:00,1,PICK-UP TRUCK,,,,,,2,,,,,,,Unspecified,
15061195,3394984,2/25/2016,10:11,1,PASSENGER VEHICLE,,,,,,5,,,,,,,Unspecified,
19140448,4229131,10/24/2019,22:20,a6920a97-5a7d-4f38-b7fe-3545f8c7e562,Sedan,TOYT -CAR/SUV,,2019,1,Licensed,2,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,N,Unspecified,Unspecified
15079321,3404065,3/11/2016,21:31,1,SPORT UTILITY / STATION WAGON,,,,,,3,,,,,,,Fatigued/Drowsy,
19140660,4229698,10/23/2019,23:20,d9fafdef-41d3-4a65-8d98-40fc8693ff82,Station Wagon/Sport Utility Vehicle,GMC -CAR/SUV,,2016,0,,5,Right Front Bumper,Right Front Bumper,Left Front Bumper,Center Front End,Right Front Quarter Panel,N,Unspecified,Unspecified
19140322,4229321,10/24/2019,15:00,47b93a4c-8f9d-40f1-a007-48c1d94a7781,,,,,,,0,,,,,,Unspecified,,
13230693,240527,12/15/2012,16:00,2,PASSENGER VEHICLE,,,,,,9,,,,,,,Unspecified,
14672130,3209911,4/27/2015,16:30,1,SPORT UTILITY / STATION WAGON,,,,,,2,,,,,,,Unspecified,
19139740,4229434,10/24/2019,18:20,775bcb70-da96-4f01-bf71-f4b0cc3a4428,Sedan,KIA -CAR/SUV,,2004,4,Permit,5,Center Back End,Center Back End,Left Rear Bumper,No Damage,No Damage,N,Backing Unsafely,Driver Inexperience
14648143,3199977,4/8/2015,21:55,2,PASSENGER VEHICLE,,,,,,2,,,,,,,Fatigued/Drowsy,
19138956,4228914,10/24/2019,16:50,30fd483d-0018-45ad-9d1a-25c82b7e3c7a,Bus,IC,,2010,1,Licensed,0,Left Front Bumper,Left Front Bumper,,,,Unspecified,Unspecified,Unspecified
19139066,4229005,10/24/2019,16:00,009b7e5e-29da-445b-9276-970bb78ec945,,,,,,,6,,,,,,Unspecified,,
9977047,335025,5/13/2014,16:50,2,PASSENGER VEHICLE,,,,,,1,,,,,,,Traffic Control Disregarded,
8395403,2148,3/17/2013,16:00,2,TAXI,,,,,,4,,,,,,,Unspecified,
14519990,3146846,1/2/2015,17:20,2,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Unspecified,
19139241,4228592,10/24/2019,7:40,48ae5413-c7b5-460d-9faf-779de08209dc,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2018,2,Licensed,3,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,N,Unspecified,Unspecified
8532175,10366,1/30/2013,1:30,1,TAXI,,,,,,3,,,,,,,Unspecified,
14603135,3181296,3/5/2015,18:30,1,SPORT UTILITY / STATION WAGON,,,,,,7,,,,,,,Unspecified,
14747912,3240710,6/15/2015,17:12,1,PASSENGER VEHICLE,,,,,,1,,,,,,,Unspecified,
19139175,4229059,10/24/2019,14:05,487215a5-cfe8-4a9a-9a23-7a341c5dedb1,Box Truck,FORD-TRUCK/BUS,,2016,1,,8,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified
11161855,138062,5/29/2013,21:55,3,PASSENGER VEHICLE,,,,,,3,,,,,,,Unspecified,
17072438,3444930,5/20/2016,23:30,328178,Motorcycle,YAMA -MCL,,2012,1,Licensed,1,Center Front End,Other,Other,Other,Other,Y,Unspecified,Obstruction/Debris
19139591,4228907,10/24/2019,16:47,4525614b-2256-446f-be38-9d425b5ec7ba,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2016,1,Licensed,1,Left Front Bumper,Left Front Quarter Panel,,,,N,Unspecified,Unspecified
19138926,4228939,10/24/2019,15:30,880a9965-6e28-41b2-93c1-59d3b56dd3b2,Sedan,HOND -CAR/SUV,,2008,1,Licensed,0,Right Side Doors,Right Side Doors,,,,N,Unspecified,Unspecified
13239670,244061,11/5/2013,8:10,2,SPORT UTILITY / STATION WAGON,,,,,,2,,,,,,,Failure to Yield Right-of-Way,
19139178,4229062,10/24/2019,17:36,576ba188-4fbf-4751-b212-10d231c5cc3e,Sedan,LEXS -CAR/SUV,,2001,1,Licensed,4,Left Front Bumper,Left Front Quarter Panel,,,,N,Driver Inattention/Distraction,Unsafe Lane Changing
19137605,4228440,10/24/2019,1:30,bfbf1368-b100-48aa-b60d-7f1afc145835,Taxi,TOYT -CAR/SUV,,2016,1,Licensed,4,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,Unspecified,Other Vehicular
13746922,264725,10/10/2012,18:30,1,SPORT UTILITY / STATION WAGON,,,,,,7,,,,,,,Backing Unsafely,
9283345,2849078,8/23/2013,16:50,2,SPORT UTILITY / STATION WAGON,,,,,,5,,,,,,,Other Vehicular,
19139393,4229031,10/24/2019,22:11,be6b4692-a968-400a-bc6a-a104d04f7023,Bus,NOVA,,2011,0,Licensed,9,Left Rear Quarter Panel,No Damage,,,,N,Driver Inattention/Distraction,Unspecified
9132270,362858,7/10/2014,8:00,2,VAN,,,,,,6,,,,,,,Unspecified,
9124769,42484,8/22/2013,15:45,1,TAXI,,,,,,7,,,,,,,Unspecified,
13429375,314334,4/1/2014,15:40,1,PASSENGER VEHICLE,,,,,,9,,,,,,,Unspecified,
19139602,4228906,10/24/2019,20:00,60717794-b43e-4fed-bdaf-887b7ed2145a,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2017,0,,3,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,Unspecified,Unspecified
11866785,175219,11/22/2013,13:00,1,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
19139689,4228979,10/24/2019,19:30,2ee4b550-87a2-48f1-a22e-aec25ba557c2,Sedan,ACUR -CAR/SUV,,2010,0,Licensed,4,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,Following Too Closely,Unspecified
19140520,4229190,10/24/2019,13:00,1df01f2a-a9a3-4249-b88d-1487d09b9534,Sedan,MAZD -CAR/SUV,,2003,1,Licensed,4,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,,,N,Unspecified,Unspecified
14546516,3157995,1/23/2015,20:00,3,VAN,,,,,,5,,,,,,,Unspecified,
14463368,302418,3/15/2013,15:24,2,UNKNOWN,,,,,,9,,,,,,,Unspecified,
19139431,4228912,10/24/2019,16:30,aa124d2e-46fd-4c53-a6b2-58b3c86958cf,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2015,1,Licensed,9,Center Front End,Center Front End,,,,N,Driver Inattention/Distraction,Unspecified
9508187,2865358,5/30/2014,18:40,1,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
17234958,3478113,7/7/2016,18:00,504330,2 dr sedan,PORS -CAR/SUV,,2003,0,,4,Right Rear Bumper,Right Rear Bumper,,,,N,Unspecified,Unspecified
19140971,4229653,10/24/2019,9:45,a752c963-5bc7-4cd7-976c-edf5fc9a8ce1,Station Wagon/Sport Utility Vehicle,MAZD -CAR/SUV,,2008,2,Licensed,7,Center Back End,Center Back End,Left Rear Bumper,Right Rear Bumper,No Damage,N,Unspecified,Unspecified
8396973,2921,6/12/2013,15:18,1,VAN,,,,,,7,,,,,,,Unspecified,
14411040,349583,6/9/2014,23:40,1,SPORT UTILITY / STATION WAGON,,,,,,5,,,,,,,Outside Car Distraction,
8397469,3171,7/7/2013,18:30,2,UNKNOWN,,,,,,0,,,,,,,Unspecified,
19139060,4229012,10/24/2019,14:07,864298c2-162e-4933-9e8c-37f5310d66df,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2018,1,Licensed,1,Right Side Doors,Right Side Doors,,,,N,Driver Inexperience,Unspecified
9509261,1010643,8/19/2014,13:55,1,SPORT UTILITY / STATION WAGON,,,,,,2,,,,,,,Unspecified,
9723046,359652,4/21/2014,6:10,2,UNKNOWN,,,,,,3,,,,,,,Failure to Yield Right-of-Way,
19138706,4229068,10/24/2019,17:45,c32fcbfb-6a2f-4d46-9327-bf932693ba95,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2017,2,Licensed,8,Left Front Bumper,Left Front Bumper,Center Front End,,,N,Unspecified,Unspecified
10316936,95966,11/10/2012,16:21,1,PASSENGER VEHICLE,,,,,,1,,,,,,,Unspecified,
17316890,3519120,9/9/2016,16:20,787414,Station Wagon/Sport Utility Vehicle,SUBA -CAR/SUV,,2012,1,Licensed,5,Left Rear Bumper,Left Rear Bumper,,,,N,Unspecified,Unspecified
19140729,4229528,10/24/2019,18:30,aab04bf0-9821-412b-9b3c-75fa1aab7d2a,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2003,1,Licensed,7,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,No Damage,No Damage,N,Turning Improperly,Unspecified
19139989,4229116,10/24/2019,21:15,62f5b486-a42b-40a8-8e69-235ff549622f,Sedan,NISS -CAR/SUV,,2010,1,Licensed,3,Left Side Doors,Left Side Doors,No Damage,No Damage,No Damage,N,Unspecified,Unspecified
19139681,4228970,10/24/2019,14:15,60ba5ffe-e104-4bc6-9294-f83a5134331c,Station Wagon/Sport Utility Vehicle,MERZ -CAR/SUV,,2014,1,Licensed,6,Left Rear Bumper,Left Rear Bumper,Center Back End,,,N,Backing Unsafely,Unspecified
8397460,3167,7/6/2013,15:15,1,MOTORCYCLE,,,,,,9,,,,,,,Backing Unsafely,
12005192,184410,2/1/2014,23:50,2,SPORT UTILITY / STATION WAGON,,,,,,2,,,,,,,Unspecified,
19139436,4228925,10/24/2019,21:00,2ac16dae-e590-4f5e-b262-e32eee0e32d0,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2018,1,Licensed,6,Left Rear Bumper,Left Rear Bumper,Left Rear Quarter Panel,,,N,Unsafe Lane Changing,Driver Inexperience
19139524,4228675,10/24/2019,8:00,fc4d171e-83ef-405e-ac5a-8964eb4429c4,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2011,1,Licensed,2,Right Front Quarter Panel,Right Front Quarter Panel,,,,N,Unspecified,Unspecified
8708957,341525,5/27/2014,16:30,2,BUS,,,,,,9,,,,,,,,
19138708,4229069,10/24/2019,17:00,5959b285-467e-4e64-acfb-38447df8dc0a,Sedan,TOYT -CAR/SUV,,2012,1,Licensed,7,Center Back End,Left Rear Bumper,Right Rear Bumper,,,N,Unspecified,Unspecified
15030134,3379266,1/28/2016,15:00,2,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Unspecified,
8995418,33951,1/22/2013,14:05,2,SPORT UTILITY / STATION WAGON,,,,,,4,,,,,,,Unspecified,
19139523,4228675,10/24/2019,8:00,593c8cb8-5dd2-4e43-906e-c27925ac87e4,Sedan,HOND -CAR/SUV,,2018,1,Licensed,4,Left Front Bumper,Left Front Bumper,Center Front End,,,N,Failure to Yield Right-of-Way,Unspecified
17049525,3452570,5/22/2016,23:05,311635,Sedan,TOYT -CAR/SUV,,2014,0,Licensed,3,Center Front End,Left Front Bumper,Right Front Bumper,,,N,Unspecified,Unspecified
13089065,236693,9/1/2013,0:30,1,PASSENGER VEHICLE,,,,,,6,,,,,,,Unspecified,
19139466,4228896,10/24/2019,17:35,680ca55b-90d9-49b0-8c3c-0f52d6ee077d,Sedan,NISS -CAR/SUV,,2013,2,Licensed,6,Center Back End,Right Rear Bumper,Left Rear Bumper,,,N,Unspecified,Unspecified
14858054,3292788,9/8/2015,21:30,1,PASSENGER VEHICLE,,,,,,9,,,,,,,Illness,
13750457,266109,5/24/2013,20:00,2,PASSENGER VEHICLE,,,,,,1,,,,,,,Unspecified,
19139862,4229125,10/24/2019,17:50,f4d760a5-a9b9-497e-80c6-bb4ef598b321,Box Truck,HINO -TRUCK/BUS,,2018,0,,0,Left Front Bumper,Left Front Bumper,,,,N,Unspecified,Unspecified
19139432,4228913,10/24/2019,19:00,de94213c-ef3f-4cfb-ba3e-9de1d2c5a77b,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2017,1,Licensed,9,Right Front Bumper,Right Front Quarter Panel,Right Front Quarter Panel,No Damage,No Damage,N,Unsafe Lane Changing,Unspecified
13229136,239864,10/18/2012,12:50,2,LARGE COM VEH(6 OR MORE TIRES),,,,,,1,,,,,,,Unspecified,
17319910,3547635,10/26/2016,9:30,984463,Sedan,TOYT -CAR/SUV,,2016,0,Licensed,9,Right Front Quarter Panel,Right Side Doors,Right Rear Quarter Panel,,,N,Unspecified,Unspecified
9396182,55557,7/4/2012,13:00,1,PASSENGER VEHICLE,,,,,,3,,,,,,,Unspecified,
19138659,4229052,10/24/2019,12:04,656595a2-3d65-43c9-9826-5fe497fff859,Sedan,HOND -CAR/SUV,,2018,2,Licensed,2,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified
12056337,335730,5/14/2014,9:30,2,BICYCLE,,,,,,8,,,,,,,Other Vehicular,
19138705,4229068,10/24/2019,17:45,baf1b770-1a85-468a-a1e4-3c57e1f42e6c,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2005,1,Licensed,3,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,Unspecified,Unspecified,Unspecified
8533957,11284,8/20/2013,22:30,2,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
14648689,3200207,4/9/2015,19:05,1,OTHER,,,,,,5,,,,,,,Passenger Distraction,
13529255,3065444,4/5/2013,14:50,1,PASSENGER VEHICLE,,,,,,5,,,,,,,Unspecified,
19139383,4228941,10/24/2019,15:43,47e9d857-74d3-4bb2-8256-bdaff2aec056,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,1999,1,Licensed,4,Center Front End,Center Front End,Center Back End,,,N,Following Too Closely,Unspecified
19139525,4228729,10/24/2019,9:00,26f5940f-5d73-479b-89dc-8d2be90d8ab3,School Bus,IC -CAR/SUV,,2008,0,Licensed,8,Right Front Bumper,Right Front Quarter Panel,,,,N,Passing Too Closely,Unspecified
19138619,4229016,10/24/2019,18:25,ce4d9f55-c6c5-4239-a096-d5442e419a56,Sedan,JEEP -CAR/SUV,,2014,0,Licensed,8,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,No Damage,N,Unspecified,Unspecified
