Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Collision Type,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make
MCP120500B8,230071634,Montgomery County Police,Property Damage Crash,12/14/2023 8:13,SAME DIR REAR END,67D62706-B088-44EC-8E9D-917C8AE14AAE,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",NOT DISTRACTED,MD,6DE4DD6E-9397-4B30-A3D6-488E6516170F,DISABLING,TWELVE OCLOCK,POLICE VEHICLE/EMERGENCY,SLOWING OR STOPPING,West,30,2007,TOYOTA
MCP2962008G,230065146,Montgomery County Police,Property Damage Crash,11/8/2023 14:05,OTHER,77F8A1B6-7D43-4F1E-ACF4-27ED26B6A406,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,C87A81B6-2F85-47A2-B1A1-48BF4B4476CC,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,35,2017,CHRYSLER
EJ7872001R,230052280,Gaithersburg Police Depar,Injury Crash,8/30/2023 17:23,HEAD ON LEFT TURN,485B893A-256E-45D7-8E71-264C6D7D04E1,Yes,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,C777A9E7-4852-4E69-A826-8710EAE0DAE4,DISABLING,TWELVE OCLOCK,VAN,MAKING LEFT TURN,East,35,2001,FORD
MCP3136006J,230048375,Montgomery County Police,Property Damage Crash,8/8/2023 11:39,SAME DIRECTION SIDESWIPE,104D0AB6-F799-467E-A594-2C787A510C6F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,EBA30B55-D2F4-48FE-91EE-9878E9A4CC71,SUPERFICIAL,TEN OCLOCK,TRANSIT BUS,STOPPED IN TRAFFIC LANE,South,35,2012,GILLIG
MCP3372001S,230065190,Montgomery County Police,Property Damage Crash,11/8/2023 15:59,HEAD ON LEFT TURN,6EB3B1EB-5335-4DF5-8B30-C32DB9A0FC39,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,A711B11D-4D9E-4DF4-AA67-6BB25CF10933,DISABLING,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,2022,TOYOTA
MCP2450004R,230061989,Montgomery County Police,Property Damage Crash,10/22/2023 16:00,SAME DIRECTION SIDESWIPE,048AD698-EB85-42D7-8C9F-BBD111F0F4EE,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,72BA3940-48AF-4178-B836-510FEB64BDE1,SUPERFICIAL,SEVEN OCLOCK,AMBULANCE/EMERGENCY,MOVING CONSTANT SPEED,North,55,2016,FRHT
MCP3079005C,230046423,Montgomery County Police,Property Damage Crash,7/27/2023 12:53,SAME DIR REAR END,6F2E3AE4-8941-4491-BAC2-C8A956006357,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,EAA29138-44D1-4B3F-96DF-11CFCA9A1F8E,NO DAMAGE,SIX OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",STOPPED IN TRAFFIC LANE,North,35,2015,FREIGHTLINER
MCP2539001S,210033537,Montgomery County Police,Property Damage Crash,8/27/2021 21:15,OTHER,B42022EB-B2A2-4232-A880-B791DE81E009,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,0CA33983-6632-4093-8002-0170CF155111,NO DAMAGE,TWELVE OCLOCK,,MOVING CONSTANT SPEED,East,25,0,UNKNOWN
MCP1235004Y,230048980,Montgomery County Police,Property Damage Crash,8/11/2023 18:38,STRAIGHT MOVEMENT ANGLE,4C83B2DB-8CEF-4E58-AC3A-1E9099BD05AF,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C78D22D9-2C33-48E6-ACAD-14268A9E75B7,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,15,2006,TOYOTA
DD5612004N,230067649,Rockville Police Departme,Property Damage Crash,11/21/2023 15:49,SINGLE VEHICLE,C4C01A98-A794-433A-B9E4-DE8F8030DC04,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,B9FBD00A-57ED-4BDF-AEB1-02D210B1C66E,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,40,1993,TOYT
MCP158000C3,190050604,Montgomery County Police,Property Damage Crash,10/22/2019 6:07,SAME DIR REAR END,BC4285AA-D8BC-4B37-9874-49E53DEDB813,Yes,NO APPARENT INJURY,N/A,UNKNOWN,WV,732319D0-4FDE-44E5-836C-B74AC616B9DE,FUNCTIONAL,TWELVE OCLOCK,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",SLOWING OR STOPPING,East,35,2019,PTRB
MCP32630045,230073300,Montgomery County Police,Property Damage Crash,12/23/2023 11:47,SAME DIR REAR END,73B0F32A-3A9A-4D40-9FF4-87F1417C977B,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,9E5BF5CD-E10A-4FAF-B1E3-CBB1C8078B0A,SUPERFICIAL,TWELVE OCLOCK,UNKNOWN,MOVING CONSTANT SPEED,South,35,0,UNKNOWN
MCP23990070,230049953,Montgomery County Police,Property Damage Crash,8/17/2023 16:20,SAME DIR REAR END,9D4E14B1-0BFC-4E6B-8238-B601A53B160C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,79F8BF47-4B27-444E-87B9-E0E4174182E2,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,2002,TOYT
MCP3111007D,230061596,Montgomery County Police,Property Damage Crash,10/20/2023 10:22,SAME DIR REAR END,5EF9C907-98CF-4C3A-8E1F-5B50B836220C,Yes,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",LOOKED BUT DID NOT SEE,MD,731E2E0C-5EC1-4131-B01A-D94BD7869BB0,SUPERFICIAL,SIX OCLOCK,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",BACKING,South,30,2014,MIFU
MCP1550004Q,230055035,Montgomery County Police,Injury Crash,9/15/2023 11:46,STRAIGHT MOVEMENT ANGLE,4042D337-3779-4C78-B22B-9EC2A6B52140,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,BE276678-342B-4510-B3D2-837178D2B17E,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,2000,MAZDA
MCP2881005X,230058918,Montgomery County Police,Injury Crash,10/6/2023 12:15,STRAIGHT MOVEMENT ANGLE,456ACE95-829A-4732-B524-43CE47EF9091,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DCF81A70-1397-4B26-9FD8-1F356E13173B,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,ACCELERATING,West,40,2009,CHEV
MCP2760003X,230046662,Montgomery County Police,Property Damage Crash,7/28/2023 15:11,STRAIGHT MOVEMENT ANGLE,C60382C7-AD01-4CB8-98E4-EABDF1A851AF,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,A6149BA3-6130-415B-9D46-60BA0DF9904E,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,30,2013,HONDA
MCP2667008Y,230071043,Montgomery County Police,Property Damage Crash,12/11/2023 9:30,SINGLE VEHICLE,4546E6CD-F55F-4B9B-8670-564794A62F9E,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,689C92FE-5348-4CCB-83F0-F55D3BEAADFE,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,2010,HOND
MCP2450004L,230048433,Montgomery County Police,Injury Crash,8/8/2023 16:58,STRAIGHT MOVEMENT ANGLE,42FF903C-80DC-4E9C-9DA2-82127AB8C9D5,Yes,POSSIBLE INJURY,N/A,UNKNOWN,MD,A1B583E9-14A0-4933-9858-DBEFA9BDE757,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,25,2018,TOYOTA
MCP3361000X,230059128,Montgomery County Police,Property Damage Crash,10/7/2023 14:44,STRAIGHT MOVEMENT ANGLE,0192B4BC-6999-4316-8C99-1A721C5AAF31,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4465ECD4-D782-4F1B-84FF-7467528F110D,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,2023,FORD
MCP2466004J,230054307,Montgomery County Police,Injury Crash,9/11/2023 19:07,OPPOSITE DIRECTION SIDESWIPE,279E100B-FBB1-41A9-995F-0518D94A4503,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,CE7CFF45-129F-40B0-9A79-2B3F2238195D,DISABLING,ONE OCLOCK,VAN,MOVING CONSTANT SPEED,North,40,2017,MERZ
MCP3170003T,230074035,Montgomery County Police,Property Damage Crash,12/28/2023 15:01,SAME DIR REAR END,DC9AC90D-2A2D-48DC-8EA7-C06F8FA0AA40,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,80334BC4-C3DD-402F-B832-76F31651A050,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,30,2017,TOYOTA
DM8458001X,180036645,Takoma Park Police Depart,Property Damage Crash,7/24/2018 13:20,SAME DIRECTION LEFT TURN,D364038D-62F4-4B78-8BBD-C1F6FF330F82,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,8CB03E1E-AF2D-4C77-9112-67A5DB10170B,SUPERFICIAL,EIGHT OCLOCK,VAN,PARKING,North,5,1999,FORD
MCP3039006B,230035301,Montgomery County Police,Injury Crash,7/24/2023 20:01,SAME DIR REAR END,A6069D11-E44C-4876-B988-8CC04E92A1A3,No,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",NOT DISTRACTED,OH,9C408B73-8EFA-4167-80C8-304306A65E44,SUPERFICIAL,TEN OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,35,2021,CHEVROLET
EJ7781004J,230059642,Gaithersburg Police Depar,Property Damage Crash,10/11/2023 11:02,STRAIGHT MOVEMENT ANGLE,311F0079-5CD7-4847-8302-6F4E2C87686C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,76046BC1-6FF2-4CE1-B9E2-2DDCE517F9C6,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,STARTING FROM PARKED,West,15,2018,CHEV
MCP3170003R,230072609,Montgomery County Police,Property Damage Crash,12/19/2023 16:30,STRAIGHT MOVEMENT ANGLE,E3BFE42E-0B7A-4B51-B1BE-A2613570A84D,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2A2A71A2-68D5-417B-BD86-71BEB7281CED,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,2016,HONDA
MCP33480016,230055910,Montgomery County Police,Property Damage Crash,9/20/2023 12:00,SINGLE VEHICLE,0933F759-631C-4DF9-A4CB-DA6DDFAA10B0,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,58511D84-11B1-425C-BB4D-71EDA5A81198,SUPERFICIAL,NINE OCLOCK,TRANSIT BUS,MAKING LEFT TURN,North,5,2013,NWFL
DM8497001Z,230070937,Takoma Park Police Depart,Property Damage Crash,12/10/2023 14:46,STRAIGHT MOVEMENT ANGLE,6628F68D-9D76-4F1B-8868-DF9C5CA38215,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,NY,BB7B435C-DD6E-4596-9C26-05986BC4BB5F,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25,2019,TOYOTA
MCP2703003H,230070266,Montgomery County Police,Property Damage Crash,12/6/2023 17:30,SAME DIR REAR END,FE9327C2-4FDA-4471-B333-3E9F34C58A15,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,B263F770-FDC0-4008-9221-CC36DFF0AB57,SUPERFICIAL,TWELVE OCLOCK,AMBULANCE/EMERGENCY,SLOWING OR STOPPING,North,35,0,FORD
MCP3163005S,230054653,Montgomery County Police,Property Damage Crash,9/13/2023 15:00,SAME DIRECTION SIDESWIPE,30214F1B-F785-4087-B801-72EA0AB1AFF7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,NC,CBFC78E2-DE81-45BF-8D8F-1A5D2CB2B215,SUPERFICIAL,EIGHT OCLOCK,PASSENGER CAR,ACCELERATING,West,35,2017,HONDA
MCP1378016B,230063987,Montgomery County Police,Property Damage Crash,11/2/2023 14:20,STRAIGHT MOVEMENT ANGLE,64BF30FB-C135-49B0-AFF6-C459F1735B2A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,57BA562D-9DCE-4064-ABF9-08609F7AE28D,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,30,2020,JEEP
MCP3328002S,230064561,Montgomery County Police,Property Damage Crash,11/5/2023 15:53,SAME DIR REAR END,518EFD1E-AB86-4611-854B-E28151CD2873,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,39D9428E-686C-4E92-8BE8-9CED02D6E10D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,South,25,2013,HYUNDAI
MCP3238002N,230050389,Montgomery County Police,Property Damage Crash,8/20/2023 15:03,OTHER,77BBCBAE-2F63-455D-812F-876832AC859B,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A4D26D89-9519-44B7-B7DB-DF271B71C800,NO DAMAGE,TEN OCLOCK,TRANSIT BUS,MOVING CONSTANT SPEED,South,35,2009,GILL
MCP235800BP,230047748,Montgomery County Police,Injury Crash,8/4/2023 9:00,STRAIGHT MOVEMENT ANGLE,DCA49BCF-8100-4293-805C-BDDFB792E645,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,ED211573-C8DB-4BBC-AB58-5F671E59A148,DISABLING,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,2022,HONDA
DD56120041,230049400,Rockville Police Departme,Injury Crash,8/14/2023 13:45,STRAIGHT MOVEMENT ANGLE,B1CA66B4-C1DB-41AD-96B1-80F260E96EDE,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,95465729-89FB-42DB-B3BF-47D8D5E88369,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,0,2011,TOYT
DM8522000Z,230054902,Takoma Park Police Depart,Property Damage Crash,9/14/2023 17:35,SAME DIR REAR END,A5EA4942-351B-44B6-A9BD-1595977EC1D4,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A45C8B6A-4635-494F-9F04-6D7041ABB0D9,SUPERFICIAL,SIX OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,North,35,2013,FORD
MCP31620050,230066006,Montgomery County Police,Property Damage Crash,11/13/2023 7:40,SAME DIR REAR END,EEE5C310-8C49-4672-8568-ACFD7CE206EC,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,AL,A1C543D1-E624-4771-AF32-336CBB2C601E,FUNCTIONAL,TWELVE OCLOCK,VAN,SLOWING OR STOPPING,West,55,2023,FORD
MCP31650051,230073948,Montgomery County Police,Property Damage Crash,12/28/2023 8:30,SAME DIR REAR END,62694C96-E2CA-479B-A609-10D9F094D35C,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,3B224937-DF42-4090-9708-400964DC4067,FUNCTIONAL,SIX OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MOVING CONSTANT SPEED,North,45,2018,FORD
DM85040019,230054974,Takoma Park Police Depart,Property Damage Crash,9/15/2023 6:30,OTHER,3743E280-6A22-4B57-89C6-6ADB8139C8E7,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,DE750879-FB81-4BFD-A6F7-C9EE1D798F67,SUPERFICIAL,NINE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,2016,TOYT
MCP22910073,230057378,Montgomery County Police,Property Damage Crash,9/28/2023 19:42,STRAIGHT MOVEMENT ANGLE,9906CC32-177B-42CD-8023-6702E9E34CAD,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,8D256079-9438-4D95-94BB-1DE59E4D0EA7,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,2013,VOLKSWAGON
EJ7852008S,230061996,Gaithersburg Police Depar,Injury Crash,10/22/2023 16:59,STRAIGHT MOVEMENT ANGLE,F0508475-173E-496C-BD0D-3317AB5D156F,No,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,FL,0E7A94B3-E856-41E7-99E0-1B4A6B68D807,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,2015,TOYOTA
MCP3334001Y,230066075,Montgomery County Police,Property Damage Crash,11/13/2023 12:34,SINGLE VEHICLE,76AB41C5-8C3E-4ACF-A5C1-D20B06DE39B3,Yes,NO APPARENT INJURY,N/A,OTHER DISTRACTION,MD,D37B9694-D664-4962-8783-624C00BFA978,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,50,2013,NISS
MCP3353001S,230062178,Montgomery County Police,Injury Crash,10/23/2023 17:13,SAME DIR REAR END,4572D286-D5D0-435B-81F3-3D1F43C086D0,Yes,POSSIBLE INJURY,N/A,OTHER DISTRACTION,DC,B1580373-7780-43D2-8CC6-D0A0544664D4,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,2008,CHEVROLET
MCP31230068,230052129,Montgomery County Police,Injury Crash,8/30/2023 6:58,SAME DIR REAR END,3AEB76FD-B0E2-4DA9-8939-9B6E10682565,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7021B18B-0B8E-424C-8A54-69E9B88E76AD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,2013,HYUNDAI
EJ7898001S,230068053,Gaithersburg Police Depar,Property Damage Crash,11/24/2023 11:40,ANGLE MEETS LEFT TURN,2C711E2D-17D7-4535-A61B-85EE2E3F9E9C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E909BD08-3383-4A4E-B827-93C7CD0C5FAE,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,2023,TOYT
MCP2339008P,230055978,Montgomery County Police,Property Damage Crash,9/20/2023 18:10,SAME DIR REAR END,48EEC88D-E4EB-4C15-AC8C-BACE8EC1AE77,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,84E6A1BC-2319-4D7C-BAA6-20D1D6853517,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,35,2014,MERCEDES
MCP13780160,230059912,Montgomery County Police,Injury Crash,10/11/2023 16:31,OTHER,582941F5-3193-4616-B7E1-B4736B2A5CCB,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,77D20EC7-AFF9-4DC0-BA69-6F24606B5D12,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,25,2015,TOYOTA
MCP289200CZ,220045583,Montgomery County Police,Property Damage Crash,10/17/2022 16:47,SAME DIRECTION SIDESWIPE,592205DE-BCF0-4A60-81EF-DF0984BBB154,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,5398C0C0-2650-4727-A471-DA4342CDF253,SUPERFICIAL,EIGHT OCLOCK,TRANSIT BUS,CHANGING LANES,East,35,2013,NWFL
MCP2965007M,230060222,Montgomery County Police,Injury Crash,10/13/2023 7:15,SAME DIRECTION SIDESWIPE,997B4C48-1452-4F8E-AE6F-76C571E3718C,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C81E377A-C495-4ABE-B8B8-F96833ED40FF,UNKNOWN,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,2020,NISSAN
DM8451001S,180057201,Takoma Park Police Depart,Property Damage Crash,11/14/2018 19:40,OTHER,0A8F9228-612D-4AC2-8EAD-1482C1A8DAD5,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,6565026B-F989-4695-B243-0C328A98DC80,SUPERFICIAL,SIX OCLOCK,UNKNOWN,BACKING,West,10,0,UNKNOWN
MCP3334001S,230061837,Montgomery County Police,Property Damage Crash,10/21/2023 15:15,SAME DIRECTION SIDESWIPE,FB2E06BE-75D6-47A5-8A5B-CF421CA042FB,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1BF6729B-44DB-425B-8A97-E8947EBC03FC,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25,2017,HONDA
